,gen,indicator,sim
75,75,4.190630338700761,c4495a02-b8ae-4807-b2a1-11278c028bb9
76,76,4.190630339062706,c4495a02-b8ae-4807-b2a1-11278c028bb9
77,77,4.190630339167005,c4495a02-b8ae-4807-b2a1-11278c028bb9
78,78,4.190630339167005,c4495a02-b8ae-4807-b2a1-11278c028bb9
79,79,4.190630339199594,c4495a02-b8ae-4807-b2a1-11278c028bb9
80,80,4.190637358000454,c4495a02-b8ae-4807-b2a1-11278c028bb9
81,81,4.190637358000454,c4495a02-b8ae-4807-b2a1-11278c028bb9
82,82,4.1907127683998695,c4495a02-b8ae-4807-b2a1-11278c028bb9
83,83,4.190768160889746,c4495a02-b8ae-4807-b2a1-11278c028bb9
84,84,4.190799984760824,c4495a02-b8ae-4807-b2a1-11278c028bb9
85,85,4.190799984760824,c4495a02-b8ae-4807-b2a1-11278c028bb9
86,86,4.191440332462364,c4495a02-b8ae-4807-b2a1-11278c028bb9
87,87,4.191440332462364,c4495a02-b8ae-4807-b2a1-11278c028bb9
88,88,4.191440332462364,c4495a02-b8ae-4807-b2a1-11278c028bb9
89,89,4.191440332665726,c4495a02-b8ae-4807-b2a1-11278c028bb9
90,90,4.191864419843457,c4495a02-b8ae-4807-b2a1-11278c028bb9
91,91,4.192092057444541,c4495a02-b8ae-4807-b2a1-11278c028bb9
92,92,4.192092057444541,c4495a02-b8ae-4807-b2a1-11278c028bb9
93,93,4.192095799745293,c4495a02-b8ae-4807-b2a1-11278c028bb9
94,94,4.192295360675013,c4495a02-b8ae-4807-b2a1-11278c028bb9
95,95,4.192295360675013,c4495a02-b8ae-4807-b2a1-11278c028bb9
96,96,4.192295360675013,c4495a02-b8ae-4807-b2a1-11278c028bb9
97,97,4.192295360675013,c4495a02-b8ae-4807-b2a1-11278c028bb9
98,98,4.197924194825655,c4495a02-b8ae-4807-b2a1-11278c028bb9
99,99,4.197924194825655,c4495a02-b8ae-4807-b2a1-11278c028bb9
